place name,type of impact,impact place relation,modifier place relation,severity impact relation,item impact relation,tweet text,impact category,geometry
India,Wash Away,India wash away,in India,,homes wash away,"180 dead as floods wash away homes in Nepal, India http://t.co/qvcmy1h4yT From detroitnews #Detroit",Flood,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,#followbackteam Scores Killed in Flooding in Nepal and India http://t.co/W4M68q240B,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,#followbackteam Scores Killed in Flooding in Nepal and India http://t.co/W4M68q240B,Death,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/GAofvkD9wH #NYT #world,Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/GAofvkD9wH #NYT #world,Death,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,,,"#Headlines #News Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ro...  http://t.co/3V6MLbyFaO",Death,POINT (84 28)
India,Killed,India Killed,in India,,,"#Headlines #News Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ro...  http://t.co/3V6MLbyFaO",Death,POINT (79 22)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"#Headlines #News Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ro...  http://t.co/3V6MLbyFaO",Damage,POINT (79 22)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"#Headlines #News Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ro...  http://t.co/3V6MLbyFaO",Damage,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"#浣腸 Scores Killed in Flooding in Nepal and India More than 11,000 homes have been da  http://t.co/XMijLzFS2u",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"#浣腸 Scores Killed in Flooding in Nepal and India More than 11,000 homes have been da  http://t.co/XMijLzFS2u",Death,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,*Scores Killed in Flooding in Nepal and India* by BHADRA SHARMA and NIDA NAJAR via NYT The New York Times http://t.co/NTdH9RxgHE,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,*Scores Killed in Flooding in Nepal and India* by BHADRA SHARMA and NIDA NAJAR via NYT The New York Times http://t.co/NTdH9RxgHE,Death,POINT (79 22)
northern India,Killed,northern India killed,in northern India,More than 100 killed,people killed,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by flooding in Nepal and northern India. Th...,Death,POINT (-62.99728 18.234)
India,Killed,northern India killed,in India,More than 100 killed,people killed,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by flooding in Nepal and northern India. Th...,Death,POINT (79 22)
Nepal,Killed,Nepal killed,in Nepal,More than 100 killed,people killed,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by flooding in Nepal and northern India. Th...,Death,POINT (84 28)
India,Killed,India killed,in India,More than 100 killed,people killed,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by flooding in Nepal and northern India. Th...,Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,Scores Killed in Flooding in Nepal and India by BHADRA SHARMA and NIDA NAJAR http://t.co/1yH4toHkeZ from Bobby Caples,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,Scores Killed in Flooding in Nepal and India by BHADRA SHARMA and NIDA NAJAR http://t.co/1yH4toHkeZ from Bobby Caples,Death,POINT (79 22)
Nepal,Claim,Nepal claim,,at least 180 claim,lives claim,#World_news Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/2ClZMGNqwg,Death,POINT (84 28)
India,Claim,India claim,,at least 180 claim,lives claim,#World_news Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/2ClZMGNqwg,Death,POINT (79 22)
India,Killed,India killed,,Dozens killed,,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by fl… http://t.co/ubyL0c5Tsy,Death,POINT (79 22)
Nepal,Killed,Nepal killed,,Dozens killed,,Dozens killed as monsoon floods ravage India and Nepal: More than 100 people have been killed by fl… http://t.co/ubyL0c5Tsy,Death,POINT (84 28)
Nepal India,Kill,Nepal India kill,,at least 160 kill,,@bbcworldservice Floods and landslides kill at least 160 after torrential rain  Nepal India  http://t.co/OVaUUkvRlD  http://t.co/XzcrzbNsEy,Death,POINT (88.17716 27.75553)
N India,Died,N India died,,at least 160 died,,Reports say at least 160 have died in floods across Nepal and N India.  http://t.co/ZeQAjx94kF  And there's more rain to come across region.,Death,POINT (77.22445 28.63576)
Nepal,Died,Nepal died,,at least 160 died,,Reports say at least 160 have died in floods across Nepal and N India.  http://t.co/ZeQAjx94kF  And there's more rain to come across region.,Death,POINT (84 28)
India,Claim,India claim,,at least 180 claim,lives claim,Nepal and India begin relief efforts as monsoon floods claim at least 180 lives: Helicopters carry... http://t.co/fqacGBmdxy - @guardian,Death,POINT (79 22)
Nepal,Claim,Nepal claim,,at least 180 claim,lives claim,Nepal and India begin relief efforts as monsoon floods claim at least 180 lives: Helicopters carry... http://t.co/fqacGBmdxy - @guardian,Death,POINT (84 28)
India,Claim,India claim,,at least 180 claim,lives claim,Nepal and India begin relief efforts as monsoon floods claim at least 180 lives: Helicopters c... http://t.co/Wve4E7Asfa #UFO4UBlogWorld,Death,POINT (79 22)
Nepal,Claim,Nepal claim,,at least 180 claim,lives claim,Nepal and India begin relief efforts as monsoon floods claim at least 180 lives: Helicopters c... http://t.co/Wve4E7Asfa #UFO4UBlogWorld,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"[New Y. Times. EUA] Scores Killed in Flooding in Nepal and India: More than 11,000 homes have bee... http://t.co/yzZLQ4N5zN vía J.A.M.V",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"[New Y. Times. EUA] Scores Killed in Flooding in Nepal and India: More than 11,000 homes have bee... http://t.co/yzZLQ4N5zN vía J.A.M.V",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"YourWeightDefineYou: Scores Killed in Flooding in Nepal and India: More than 11,000 hom... http://t.co/GV6rfDspJq http://t.co/4sThsIdowT",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"YourWeightDefineYou: Scores Killed in Flooding in Nepal and India: More than 11,000 hom... http://t.co/GV6rfDspJq http://t.co/4sThsIdowT",Death,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,[#NYtimes] Scores Killed in Flooding in Nepal and India http://t.co/AxxU2sF951 [#Luisito2402],Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,[#NYtimes] Scores Killed in Flooding in Nepal and India http://t.co/AxxU2sF951 [#Luisito2402],Death,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,"kuuky__frez Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged... http://t.co/n6A4TnuplR kuuky__frez",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"kuuky__frez Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged... http://t.co/n6A4TnuplR kuuky__frez",Death,POINT (84 28)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"kuuky__frez Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged... http://t.co/n6A4TnuplR kuuky__frez",Damage,POINT (79 22)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"kuuky__frez Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged... http://t.co/n6A4TnuplR kuuky__frez",Damage,POINT (84 28)
UP,Wreck Havoc,UP wreck havoc,in UP,,,Nothing. Same case in Assam.  RT @ChandrusWeb what is NDRF doing? RT @HeadlinesIndia: Army alerted as floods wreck havoc in UP,Other,POINT (129.31667 35.53722)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"Latest News: Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughl... http://t.co/13syYRF0GM",Damage,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"Latest News: Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughl... http://t.co/13syYRF0GM",Death,POINT (79 22)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"Latest News: Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughl... http://t.co/13syYRF0GM",Damage,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"Latest News: Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughl... http://t.co/13syYRF0GM",Death,POINT (84 28)
Nepal,Killed,Nepal Killed,,Scores Killed,,"(#Dime_Landy) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been dam... http://t.co/yXohQ9LEVM (#Dime_Landy)",Death,POINT (84 28)
India,Killed,India Killed,,Scores Killed,,"(#Dime_Landy) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been dam... http://t.co/yXohQ9LEVM (#Dime_Landy)",Death,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,"(#FernandoMVP_) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/Hu8stWjuCR (#FernandoMVP_)",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"(#FernandoMVP_) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/Hu8stWjuCR (#FernandoMVP_)",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"(#TeamKhalifa) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been d... http://t.co/pjqk6NBkqA (#TeamKhalifa)",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"(#TeamKhalifa) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been d... http://t.co/pjqk6NBkqA (#TeamKhalifa)",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"( #MorenoPretty ) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have ... http://t.co/wBIzfc648g ( #MorenoPretty )",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"( #MorenoPretty ) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have ... http://t.co/wBIzfc648g ( #MorenoPretty )",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,(#Byy) Scores Killed in Flooding in Nepal and India http://t.co/Q6mWrDKQCR (#MaiiCool),Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,(#Byy) Scores Killed in Flooding in Nepal and India http://t.co/Q6mWrDKQCR (#MaiiCool),Death,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"(#Yeremiito21) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/dlaU8qMP7m (Via @Yeremiix3)",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"(#Yeremiito21) Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/dlaU8qMP7m (Via @Yeremiix3)",Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"#Dayan &amp;  #Luis Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/CIR5aHUbth #Dayan &amp;  #Luis",Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"#Dayan &amp;  #Luis Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been... http://t.co/CIR5aHUbth #Dayan &amp;  #Luis",Death,POINT (79 22)
Nepal,Dead,Nepal dead,,Hundreds dead,,"Hundreds dead as monsoon hits India, Nepal - KPRC Houston http://t.co/UD05cTdbj8",Death,POINT (84 28)
India,Dead,India dead,,Hundreds dead,,"Hundreds dead as monsoon hits India, Nepal - KPRC Houston http://t.co/UD05cTdbj8",Death,POINT (79 22)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"IG ; JeremyHumilde Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ... http://t.co/kZakoyCVU4",Damage,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,"IG ; JeremyHumilde Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ... http://t.co/kZakoyCVU4",Death,POINT (79 22)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"IG ; JeremyHumilde Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ... http://t.co/kZakoyCVU4",Damage,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"IG ; JeremyHumilde Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and ... http://t.co/kZakoyCVU4",Death,POINT (84 28)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/vtfY0Rf7aJ",Damage,POINT (84 28)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/vtfY0Rf7aJ",Death,POINT (84 28)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/vtfY0Rf7aJ",Damage,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/vtfY0Rf7aJ",Death,POINT (79 22)
India,Killed,India Killed,in India,Scores Killed,,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,"What about? Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged a... http://t.co/HE0JjfaHuL Next time",Death,POINT (79 22)
Nepal,Damaged,Nepal damaged,in Nepal,"More than 11,000 damaged",homes damaged,"What about? Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged a... http://t.co/HE0JjfaHuL Next time",Damage,POINT (84 28)
India,Damaged,India damaged,in India,"More than 11,000 damaged",homes damaged,"What about? Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged a... http://t.co/HE0JjfaHuL Next time",Damage,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,"What about? Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged a... http://t.co/HE0JjfaHuL Next time",Death,POINT (84 28)
Nepal,Dead,Nepal Dead,in Nepal,180 Dead,,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Death,POINT (84 28)
Nepal,Wash Away,Nepal Wash Away,in Nepal,,Homes Wash Away,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Flood,POINT (84 28)
Nepal,Maroon,Nepal maroon,in Nepal,,villages maroon,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Trapped,POINT (84 28)
India,Wash Away,India Wash Away,in India,,Homes Wash Away,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Flood,POINT (79 22)
India,Dead,India Dead,in India,180 Dead,,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Death,POINT (79 22)
India,Deaths,India deaths,in India,180 deaths,,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Death,POINT (79 22)
Nepal,Deaths,Nepal deaths,in Nepal,180 deaths,,"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",Death,POINT (84 28)
India,Dead,India dead,in India,Many dead,,A2 natural disasters causing poverty: Many dead in Nepal and India floods http://t.co/MvD0rBpxQ8,Death,POINT (79 22)
Nepal,Dead,Nepal dead,in Nepal,Many dead,,A2 natural disasters causing poverty: Many dead in Nepal and India floods http://t.co/MvD0rBpxQ8,Death,POINT (84 28)
India,Dead,India dead,in India,180 dead,,"180 dead as floods wash away homes in Nepal, India http://t.co/7pvsFGvaOU via Yahoo!",Death,POINT (79 22)
India,Wash Away,India wash away,in India,,homes wash away,"180 dead as floods wash away homes in Nepal, India http://t.co/7pvsFGvaOU via Yahoo!",Flood,POINT (79 22)
Nepal,Wash Away,Nepal wash away,in Nepal,,homes wash away,"180 dead as floods wash away homes in Nepal, India http://t.co/7pvsFGvaOU via Yahoo!",Flood,POINT (84 28)
Nepal,Dead,Nepal dead,in Nepal,180 dead,,"180 dead as floods wash away homes in Nepal, India http://t.co/7pvsFGvaOU via Yahoo!",Death,POINT (84 28)
KATMANDU,Dead,KATMANDU dead,,180 dead,,"180 dead as floods wash away homes in Nepal, India: KATMANDU, Nepal (AP) — The death toll from three days of f... http://t.co/INDWIoV9bz",Death,POINT (85.3206 27.70169)
Nepal,Dead,Nepal dead,in Nepal,180 dead,,"180 dead as floods wash away homes in Nepal, India: KATMANDU, Nepal (AP) — The death toll from three days of f... http://t.co/INDWIoV9bz",Death,POINT (84 28)
Nepal,Wash Away,Nepal wash away,in Nepal,,homes wash away,"180 dead as floods wash away homes in Nepal, India: KATMANDU, Nepal (AP) — The death toll from three days of f... http://t.co/INDWIoV9bz",Flood,POINT (84 28)
India,Dead,India dead,in India,180 dead,,"180 dead as floods wash away homes in Nepal, India: KATMANDU, Nepal (AP) — The death toll from three days of f... http://t.co/INDWIoV9bz",Death,POINT (79 22)
India,Wash Away,India wash away,in India,,homes wash away,"180 dead as floods wash away homes in Nepal, India: KATMANDU, Nepal (AP) — The death toll from three days of f... http://t.co/INDWIoV9bz",Flood,POINT (79 22)
INDIA,Killed,INDIA killed,in INDIA,At least 9 killed,,#TOI #NewsINDIA At least 9 killed as Rapti Ganga Express rams autorickshaw in Bihar: At le... http://t.co/fRTUihwu5a #Follow #FollowBack,Death,POINT (79 22)
Bihar,Killed,Bihar killed,in Bihar,At least 9 killed,,#TOI #NewsINDIA At least 9 killed as Rapti Ganga Express rams autorickshaw in Bihar: At le... http://t.co/fRTUihwu5a #Follow #FollowBack,Death,POINT (85.75 25.75)
Uttar Pradesh,Hit,Uttar Pradesh hit,in Uttar Pradesh,"over 1,000 hit",villages hit,"UP floods claim 41 lives, over 1,000 villages hit: The toll in Uttar Pradesh floods on Monda... http://t.co/lmS4V7qDQe via @timesofindia",Other,POINT (80.75 27.25)
Uttar Pradesh,Claim,Uttar Pradesh claim,in Uttar Pradesh,41 claim,lives claim,"UP floods claim 41 lives, over 1,000 villages hit: The toll in Uttar Pradesh floods on Monda... http://t.co/lmS4V7qDQe via @timesofindia",Death,POINT (80.75 27.25)
India,Claim,India claim,,at least 180 claim,lives claim,New: Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/VPR9qulH62 #follow world_latest,Death,POINT (79 22)
Nepal,Claim,Nepal claim,,at least 180 claim,lives claim,New: Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/VPR9qulH62 #follow world_latest,Death,POINT (84 28)
India,Wash Away,India wash away,in India,,homes wash away,"New post: 180 dead as floods wash away homes in Nepal, India - Daily Mail http://t.co/xsUPdNQUHe",Flood,POINT (79 22)
India,Dead,India dead,in India,180 dead,,"New post: 180 dead as floods wash away homes in Nepal, India - Daily Mail http://t.co/xsUPdNQUHe",Death,POINT (79 22)
Nepal,Dead,Nepal dead,in Nepal,180 dead,,"New post: 180 dead as floods wash away homes in Nepal, India - Daily Mail http://t.co/xsUPdNQUHe",Death,POINT (84 28)
Nepal,Wash Away,Nepal wash away,in Nepal,,homes wash away,"New post: 180 dead as floods wash away homes in Nepal, India - Daily Mail http://t.co/xsUPdNQUHe",Flood,POINT (84 28)
northern India,Killed,northern India killed,in northern India,At least 160 killed,people killed,At least 160 people are reported to have been killed in floods and landslides following days of torrential rain in Nepal and northern India.,Death,POINT (-62.99728 18.234)
Nepal,Killed,Nepal killed,in Nepal,At least 160 killed,people killed,At least 160 people are reported to have been killed in floods and landslides following days of torrential rain in Nepal and northern India.,Death,POINT (84 28)
India,Killed,India Killed,in India,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/1ukvIkVwga http://t.co/8F2zjKI63f #india #asia,Death,POINT (79 22)
india,Killed,india Killed,in india,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/1ukvIkVwga http://t.co/8F2zjKI63f #india #asia,Death,POINT (79 22)
Nepal,Killed,Nepal Killed,in Nepal,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/1ukvIkVwga http://t.co/8F2zjKI63f #india #asia,Death,POINT (84 28)
asia,Killed,asia Killed,,Scores Killed,,Scores Killed in Flooding in Nepal and India http://t.co/1ukvIkVwga http://t.co/8F2zjKI63f #india #asia,Death,POINT (89.29688 29.84064)
Nepal,Wash Away,Nepal wash away,in Nepal,,homes wash away,"RT @DailyStarLeb: Floods wash away homes in #Nepal, #India, 180 dead http://t.co/fPaWgYidOJ",Flood,POINT (84 28)
Nepal,Dead,Nepal dead,in Nepal,180 dead,,"RT @DailyStarLeb: Floods wash away homes in #Nepal, #India, 180 dead http://t.co/fPaWgYidOJ",Death,POINT (84 28)
India,Dead,India Dead,in India,160 Dead,,160 Dead in Nepal and India Flooding #jobs #news #career #jobsila # http://t.co/XwnLR63WNI,Death,POINT (79 22)
Nepal,Dead,Nepal Dead,in Nepal,160 Dead,,160 Dead in Nepal and India Flooding #jobs #news #career #jobsila # http://t.co/XwnLR63WNI,Death,POINT (84 28)
India,Deaths,India deaths,in India,180 deaths,,#Nepal | Monsoon floods in Nepal and India cause 180 deaths - &amp;#8230;  worst-hit areas were in western Nepal and n... http://t.co/Dv1cXOkAHS,Death,POINT (79 22)
Nepal,Deaths,Nepal deaths,in Nepal,180 deaths,,#Nepal | Monsoon floods in Nepal and India cause 180 deaths - &amp;#8230;  worst-hit areas were in western Nepal and n... http://t.co/Dv1cXOkAHS,Death,POINT (84 28)
India,Deaths,India deaths,in India,180 deaths,,"“@AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away huts: http://t.co/n8kxINh89l”  Pity the billionaires.",Death,POINT (79 22)
India,Maroon,India maroon,in India,,villages maroon,"“@AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away huts: http://t.co/n8kxINh89l”  Pity the billionaires.",Trapped,POINT (79 22)
Nepal,Deaths,Nepal deaths,in Nepal,180 deaths,,"“@AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away huts: http://t.co/n8kxINh89l”  Pity the billionaires.",Death,POINT (84 28)
Nepal,Sweep Away,Nepal sweep away,in Nepal,,villages sweep away,"“@AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away huts: http://t.co/n8kxINh89l”  Pity the billionaires.",Flood,POINT (84 28)
Nepal,Maroon,Nepal maroon,in Nepal,,villages maroon,"“@AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away huts: http://t.co/n8kxINh89l”  Pity the billionaires.",Trapped,POINT (84 28)
Nepal,Dead,Nepal dead,,Hundreds dead,,"RT @WLKY: Hundreds dead as monsoon hits India, Nepal http://t.co/0JgrUlIg7R",Death,POINT (84 28)
India,Dead,India dead,,Hundreds dead,,"RT @WLKY: Hundreds dead as monsoon hits India, Nepal http://t.co/0JgrUlIg7R",Death,POINT (79 22)
Nepal,Maroon,Nepal maroon,in Nepal,,villages maroon,"Monsoon floods in #Nepal and #India cause 180 deaths, maroon villages, sweep away straw huts: http://t.co/vmwRiGVWsv #Travel #Katmandu",Trapped,POINT (84 28)
Nepal,Sweep Away,Nepal sweep away,in Nepal,,straw huts sweep away,"Monsoon floods in #Nepal and #India cause 180 deaths, maroon villages, sweep away straw huts: http://t.co/vmwRiGVWsv #Travel #Katmandu",Flood,POINT (84 28)
Nepal,Deaths,Nepal deaths,in Nepal,180 deaths,,"Monsoon floods in #Nepal and #India cause 180 deaths, maroon villages, sweep away straw huts: http://t.co/vmwRiGVWsv #Travel #Katmandu",Death,POINT (84 28)
Assam,Claims,Assam claims,,one claims,life claims,"Assam flood situation turns grim, claims one life - Times of India http://t.co/QZtq4Yg9m0 #Assam",Death,POINT (93 26)
India,Claims,India claims,,one claims,life claims,"Assam flood situation turns grim, claims one life - Times of India http://t.co/QZtq4Yg9m0 #Assam",Death,POINT (79 22)
UP,Hit,UP hit,,"over 1,000 hit",villages hit,"UP floods claim 41 lives, over 1,000 villages hit http://t.co/92D2PJ03BO via @timesofindia",Other,POINT (129.31667 35.53722)
india,Claim,india claim,,41 claim,lives claim,"UP floods claim 41 lives, over 1,000 villages hit http://t.co/92D2PJ03BO via @timesofindia",Death,POINT (79 22)
UP,Claim,UP claim,,41 claim,lives claim,"UP floods claim 41 lives, over 1,000 villages hit http://t.co/92D2PJ03BO via @timesofindia",Death,POINT (129.31667 35.53722)
India,Killed,India killed,,Dozens killed,,Dozens killed as monsoon floods ravage India and Nepal http://t.co/pvfMxO8uo9 http://t.co/kRxX9fWZTj,Death,POINT (79 22)
Nepal,Killed,Nepal killed,,Dozens killed,,Dozens killed as monsoon floods ravage India and Nepal http://t.co/pvfMxO8uo9 http://t.co/kRxX9fWZTj,Death,POINT (84 28)
Nepal,Dead,Nepal dead,,,,00s dead as monsoon brings chaos 2 northern #India #Nepal  #government #UttarPradesh,Death,POINT (84 28)
India,Dead,India dead,northern India,,,00s dead as monsoon brings chaos 2 northern #India #Nepal  #government #UttarPradesh,Death,POINT (79 22)
UttarPradesh,Dead,UttarPradesh dead,northern UttarPradesh,,,00s dead as monsoon brings chaos 2 northern #India #Nepal  #government #UttarPradesh,Death,POINT (80.34975 26.46523)
India,Dead,India dead,,Hundreds dead,,"#nepal#news Hundreds dead as monsoon hits India, Nepal - KPRC Houston: KPRC HoustonHundreds de... http://t.co/0Q36EN6mih @milijulidotcom",Death,POINT (79 22)
nepal,Dead,nepal dead,,Hundreds dead,,"#nepal#news Hundreds dead as monsoon hits India, Nepal - KPRC Houston: KPRC HoustonHundreds de... http://t.co/0Q36EN6mih @milijulidotcom",Death,POINT (84 28)
Nepal,Dead,Nepal dead,,Hundreds dead,,"#nepal#news Hundreds dead as monsoon hits India, Nepal - KPRC Houston: KPRC HoustonHundreds de... http://t.co/0Q36EN6mih @milijulidotcom",Death,POINT (84 28)
India,Wash Away,India wash away,in India,,homes wash away,"180 dead as floods wash away homes in Nepal, India: Authorities in Nepal and neighbouring India sent food,... http://t.co/dhtLDjXddL",Flood,POINT (79 22)
Nepal,Dead,Nepal dead,in Nepal,180 dead,,"180 dead as floods wash away homes in Nepal, India: Authorities in Nepal and neighbouring India sent food,... http://t.co/dhtLDjXddL",Death,POINT (84 28)
India,Dead,India dead,in India,180 dead,,"180 dead as floods wash away homes in Nepal, India: Authorities in Nepal and neighbouring India sent food,... http://t.co/dhtLDjXddL",Death,POINT (79 22)
